Degrees Latitude,Degrees Longitude,Density
41.92,-87.65,22
41.92,-87.66,38
41.92,-87.67,25
41.92,-87.68,7
41.92,-87.72,5
41.92,-87.73,2
41.92,-87.74,15
41.92,-87.75,5
41.92,-87.7,1
41.93,-87.64,38
41.93,-87.65,28
41.93,-87.66,47
41.93,-87.67,10
41.93,-87.68,30
41.93,-87.69,6
41.93,-87.72,3
41.93,-87.75,2
41.93,-87.7,8
41.94,-87.64,9
41.94,-87.65,21
41.94,-87.66,18
41.94,-87.67,5
41.94,-87.68,1
41.94,-87.69,5
41.94,-87.73,1
41.94,-87.75,1
41.94,-87.7,3
41.95,-87.65,26
41.95,-87.66,8
41.95,-87.67,6
41.95,-87.69,5
41.95,-87.71,1
41.95,-87.72,1
41.95,-87.76,1
41.95,-87.78,1
41.95,-87.79,3
41.95,-87.7,15
41.95,-87.82,4
41.96,-87.66,5
41.96,-87.69,5
41.96,-87.71,2
41.96,-87.85,1
41.97,-87.66,12
41.97,-87.69,5
41.97,-87.72,1
41.97,-87.73,1
41.97,-87.7,1
41.97,-87.83,2
41.97,-87.84,7
41.97,-87.87,3
41.98,-87.66,16
41.98,-87.69,3
41.98,-87.72,19
41.98,-87.73,99
41.98,-87.74,8
41.98,-87.76,6
41.98,-87.91,18
41.99,-87.66,1
41.99,-87.72,3
41.99,-87.73,17
42.0,-87.73,1
42.01,-87.78,1
42.08,-87.76,3
